global_block_title,direction_title,system_title,product_group_id,product_group_title,mapped_vendors,coverage
Строительные материалы,Конструктивные решения,Инертные и вяжущие материалы,tsement,Цемент,1,covered
Строительные материалы,Конструктивные решения,Инертные и вяжущие материалы,beton,Бетон,1,covered
Строительные материалы,Конструктивные решения,Металл,mufty-obzhimnye-dlya-armatury,Муфты обжимные для арматуры,1,covered
Строительные материалы,Конструктивные решения,Металл,setka,Сетка,1,covered
Строительные материалы,Конструктивные решения,Металл,profnastil,Профнастил,2,covered
Строительные материалы,Конструктивные решения,Металл,zakladnye-detali,Закладные детали,1,covered
Строительные материалы,Конструктивные решения,Фундаменты и сваи,svai,Сваи,4,covered
Строительные материалы,Конструктивные решения,Крепеж,krepezh,Крепеж,3,covered
Строительные материалы,Конструктивные решения,Геосинтетические материалы,geotekstil,Геотекстиль,1,covered
Строительные материалы,Благоустройство и озеленение,Малые архитектурные формы (МАФ),sadovaya-mebel,Садовая мебель,1,covered
Строительные материалы,Благоустройство и озеленение,Покрытия,paving-slabs-and-pavers,Тротуарная плитка и брусчатка,1,covered
Строительные материалы,Благоустройство и озеленение,Освещение территории,opory-osvescheniya,Опоры освещения,11,covered
Строительные материалы,Благоустройство и озеленение,Ограждения и зонирование,zabory,Заборы,1,covered
Строительные материалы,Благоустройство и озеленение,Дорожные плиты,pag,ПАГ,1,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоснабжение,water-pumps,Насосное оборудование,3,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоснабжение,water-valves-safety-control,"Запорная, предохранительная и регулирующая арматура",3,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоснабжение,water-pipes-and-accessories,Трубы и аксессуары для трубопровода,4,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоснабжение,storm-drainage-kns-tanks-filter-cartridges,"Ливневая канализация, КНС, резервуары и фильтр-патроны",3,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоснабжение,zapornaya-i-reguliruyuschaya-armatura,Запорная и регулирующая арматура,2,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоснабжение,uzly-ucheta-vody,Узлы учета воды,1,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоснабжение,goryachee-vodosnabzhenie,Горячее водоснабжение,4,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоснабжение,truba-polipropilen,Труба полипропилен,1,covered
Инженерное оборудование,Водоснабжение и водоотведение,Сантехническое оборудование,mixers,Смесители,15,covered
Инженерное оборудование,Водоснабжение и водоотведение,Сантехническое оборудование,bathroom-complectation,Комплектация санузла,21,covered
Инженерное оборудование,Водоснабжение и водоотведение,Сантехническое оборудование,wall-hung-toilet-kit,Комплект для подвесного унитаза,2,covered
Инженерное оборудование,Водоснабжение и водоотведение,Сантехническое оборудование,rakoviny-i-unitazy,Раковины и унитазы,20,covered
Инженерное оборудование,Водоснабжение и водоотведение,Сантехническое оборудование,sanfayans,Санфаянс,20,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоподготовка,water-treatment-equipment,Водоподготовка,1,covered
Инженерное оборудование,Водоснабжение и водоотведение,Ливнево-очистные сооружения,stormwater-treatment-facilities-group,Ливнево-очистные сооружения,1,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоотведение,cast-iron-drainage,Чугунная канализация,1,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоотведение,water-fire-pumps,"Насосное оборудование для ХВС, пожаротушения и автоматического пожаротушения",2,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоотведение,wastewater-control-valves,Запорно-регулирующая арматура,1,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоотведение,industrial-electric-water-heaters,Накопительные электрические промышленные водонагреватели,1,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоотведение,indoor-sewage-pumping-stations,КНС внутренней установки,4,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоотведение,siphonic-vacuum-storm-drainage,Сифонно-вакуумная ливневая канализация,2,covered
Инженерное оборудование,Водоснабжение и водоотведение,Водоотведение,drenazhn-sistemy-i-vodootvedenie,Дренажн. системы и водоотведение,1,covered
Инженерное оборудование,Водоснабжение и водоотведение,Наружные сети водоснабжения и канализации,naruzhnye-seti-vodosnabzheniya-i-kanalizatsii,Наружные сети водоснабжения и канализации,1,covered
Инженерное оборудование,Водоснабжение и водоотведение,Наружные сети водоснабжения и канализации,kns,КНС,3,covered
Инженерное оборудование,Водоснабжение и водоотведение,Наружные сети водоснабжения и канализации,los,ЛОС,1,covered
Инженерное оборудование,ОВиК и тепловые сети,Радиаторы,steel-panel-radiators,Радиаторы стальные панельные,3,covered
